prefecture_code,name,category,population,assembly_url,minutes_url,notes
01,北海道,prefecture,515,https://www.gikai.pref.hokkaido.lg.jp/,https://www.gikai.pref.hokkaido.lg.jp/kaigiroku/index.html,会議録検索システム（昭和45年以降）
02,青森,prefecture,119,https://www.pref.aomori.lg.jp/soshiki/gikai/home.html,https://www.pref.aomori.lg.jp/soshiki/gikai/katsudo-honkaigi.html,県庁サイト内に議会ページあり
03,岩手,prefecture,116,https://www.pref.iwate.jp/gikai/,https://www.pref.iwate.jp/gikai/kaigiroku/index.html,検索システム別途あり
04,宮城,prefecture,226,https://www.pref.miyagi.jp/site/kengikai/,https://ssp.kaigiroku.net/tenant/prefmiyagi/SpTop.html,外部kaigirokuシステム利用
05,秋田,prefecture,93,https://pref.akita.gsl-service.net/,https://pref.akita.gsl-service.net/category/category/kaigiroku/,gsl-serviceシステム（平成11年以降）
06,山形,prefecture,104,https://www.pref.yamagata.jp/kensei/assembly/index.html,https://ssp.kaigiroku.net/tenant/prefyamagata/SpTop.html,速報版はPDF
07,福島,prefecture,181,https://www.pref.fukushima.lg.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/fukushima/index.html,kaigirokuシステム
08,茨城,prefecture,285,https://www.pref.ibaraki.jp/gikai/,https://www.pref.ibaraki.dbsr.jp/,DB-Searchシステム（平成元年以降）
09,栃木,prefecture,191,https://www.pref.tochigi.lg.jp/kengikai/index.html,https://pref-tochigi.gijiroku.com/,gijirokuシステム
10,群馬,prefecture,191,https://www.pref.gunma.jp/site/gikai/,https://www07.gijiroku.com/voices/,VOICESシステム
11,埼玉,prefecture,735,https://www.pref.saitama.lg.jp/s-gikai/,https://ssp.kaigiroku.net/tenant/prefsaitama/pg/index.html,kaigirokuシステム（昭和54年以降）
12,千葉,prefecture,629,https://www.pref.chiba.lg.jp/gikai/,https://pref-chiba.gijiroku.com/,gijirokuシステム
13,東京,prefecture,1404,https://www.gikai.metro.tokyo.lg.jp/,https://www.record.gikai.metro.tokyo.lg.jp/,独自会議録検索システム
14,神奈川,prefecture,921,https://www.pref.kanagawa.jp/gikai/index.html,https://ssp.kaigiroku.net/tenant/prefkanagawa/pg/index.html,kaigirokuシステム
15,新潟,prefecture,215,https://www.pref.niigata.lg.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefniigata/pg/index.html,kaigirokuシステム
16,富山,prefecture,100,https://www.pref.toyama.jp/0100/gikai/index.html,https://www.pref.toyama.dbsr.jp/,DB-Searchシステム（平成6年以降）
17,石川,prefecture,112,https://www.pref.ishikawa.lg.jp/gikai/index.html,https://pref-ishikawa.gijiroku.com/voices/,gijirokuシステム（平成3年以降）
18,福井,prefecture,75,https://www.pref.fukui.lg.jp/gikai/,https://www.pref.fukui.lg.jp/gikai/kaigiroku/index.html,
19,山梨,prefecture,80,https://www.pref.yamanashi.jp/gikaisom/,https://www.pref.yamanashi.jp/gikaisom/kaigiroku.html,
20,長野,prefecture,203,https://www.pref.nagano.lg.jp/gikai/chosa/,https://nagano.gijiroku.com/,gijirokuシステム
21,岐阜,prefecture,196,https://www.pref.gifu.lg.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefgifu/pg/index.html,kaigirokuシステム（平成元年以降）
22,静岡,prefecture,362,https://www.pref.shizuoka.jp/kensei/kengikai/index.html,https://www.pref.shizuoka.jp/kensei/kengikai/kaigiroku/index.html,要URL確認
23,愛知,prefecture,755,https://www.pref.aichi.jp/site/gikai/,https://www.pref.aichi.dbsr.jp/,DB-Searchシステム
24,三重,prefecture,172,https://www.pref.mie.lg.jp/kengikai/,https://www.pref.mie.lg.jp/KENGIKAI/51097008511.htm,PDF版主体
25,滋賀,prefecture,141,https://www.shigaken-gikai.jp/,https://www.shigaken-gikai.jp/voices/g07v_search.asp,独自ドメイン運営
26,京都,prefecture,257,https://www.pref.kyoto.jp/gikai/,https://www.pref.kyoto.dbsr.jp/,DB-Searchシステム
27,大阪,prefecture,879,https://www.pref.osaka.lg.jp/gikai/index.html,https://ssp.kaigiroku.net/tenant/prefosaka/pg/index.html,kaigirokuシステム（平成元年以降）
28,兵庫,prefecture,543,https://web.pref.hyogo.lg.jp/gikai/,https://www.kensakusystem.jp/hyogopref/,kensakusystemシステム
29,奈良,prefecture,132,https://www.pref.nara.jp/1690.htm,https://ssp.kaigiroku.net/tenant/prefnara/pg/index.html,kaigirokuシステム（平成3年以降）
30,和歌山,prefecture,90,https://www.pref.wakayama.lg.jp/prefg/200100/www/,https://www.pref.wakayama.lg.jp/gijiroku/d00203238.html,
31,鳥取,prefecture,55,https://www.pref.tottori.lg.jp/gikai/,https://www.pref.tottori.dbsr.jp/index.php/,DB-Searchシステム
32,島根,prefecture,66,https://www.pref.shimane.lg.jp/gikai/,https://www.pref.shimane.dbsr.jp/,DB-Searchシステム
33,岡山,prefecture,188,https://www.pref.okayama.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefokayama/pg/index.html,kaigirokuシステム
34,広島,prefecture,278,https://www.pref.hiroshima.lg.jp/site/gikai/,https://www.pref.hiroshima.dbsr.jp/index.php/,DB-Searchシステム
35,山口,prefecture,132,https://www.pref.yamaguchi.lg.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefyamaguchi/pg/index.html,kaigirokuシステム
36,徳島,prefecture,71,https://www.pref.tokushima.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/tokushimapref/pg/index.html,kaigirokuシステム（平成3年以降）
37,香川,prefecture,95,https://www.pref.kagawa.lg.jp/gikai/,https://www.pref.kagawa.dbsr.jp/,DB-Searchシステム
38,愛媛,prefecture,132,https://www.pref.ehime.jp/site/gikai/,https://www.kensakusystem.jp/ehime/,kensakusystemシステム（平成3年以降）
39,高知,prefecture,69,https://gikai.pref.kochi.lg.jp/,https://gikai.pref.kochi.lg.jp/minutes/,独自ドメイン運営
40,福岡,prefecture,512,https://www.gikai.pref.fukuoka.lg.jp/,https://www.pref.fukuoka.dbsr.jp/,DB-Searchシステム
41,佐賀,prefecture,81,https://www.pref.saga.lg.jp/gikai/default.html,https://www.pref.saga.dbsr.jp/,DB-Searchシステム
42,長崎,prefecture,126,https://www.pref.nagasaki.jp/gikai/,https://ssp.kaigiroku.net/tenant/prefnagasaki/pg/index.html,kaigirokuシステム
43,熊本,prefecture,174,https://www.pref.kumamoto.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefkumamoto/pg/index.html,kaigirokuシステム
44,大分,prefecture,112,https://www.pref.oita.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefoita/pg/index.html,kaigirokuシステム
45,宮崎,prefecture,105,https://www.pref.miyazaki.lg.jp/gikai/,https://www.pref.miyazaki.lg.jp/gikai/minutes/index.html,
46,鹿児島,prefecture,158,https://www.pref.kagoshima.jp/gikai/,https://www.pref.kagoshima.dbsr.jp/,DB-Searchシステム（昭和60年以降）
47,沖縄,prefecture,147,https://www.pref.okinawa.jp/kensei/gikai/index.html,https://www.pref.okinawa.jp/kensei/gikai/1020908/index.html,独自検索システム（1972年以降）
01,札幌市,designated_city,197,https://www.gikai.city.sapporo.jp/,https://www.gikai.city.sapporo.jp/record/,独自会議録検索システム
04,仙台市,designated_city,109,https://www.city.sendai.jp/gikai/,https://www.city.sendai.miyagi.dbsr.jp/index.php/,DB-Searchシステム
11,さいたま市,designated_city,134,https://www.city.saitama.lg.jp/001/010/,https://ssp.kaigiroku.net/tenant/saitama/SpTop.html,kaigirokuシステム
12,千葉市,designated_city,98,https://www.city.chiba.lg.jp/shigikai/,https://www.city.chiba.chiba.dbsr.jp/index.php/,DB-Searchシステム
14,横浜市,designated_city,377,https://www.city.yokohama.lg.jp/city-info/zaisei/gikai/,http://giji.city.yokohama.lg.jp/tenant/yokohama/SpTop.html,kaigirokuシステム（giji.city.yokohama.lg.jp）
14,川崎市,designated_city,154,https://www.city.kawasaki.jp/gikai/,https://www13.gijiroku.com/kawasaki_council/,gijirokuシステム
14,相模原市,designated_city,73,https://www.city.sagamihara.kanagawa.jp/gikai/,https://ssp.kaigiroku.net/tenant/sagamihara/SpTop.html,kaigirokuシステム
15,新潟市,designated_city,77,https://www.city.niigata.lg.jp/gikai/,http://www06.gijiroku.com/niigata/,gijirokuシステム
22,静岡市,designated_city,68,https://www.city.shizuoka.lg.jp/gikai/,https://www.city.shizuoka.shizuoka.dbsr.jp/index.php/,DB-Searchシステム
22,浜松市,designated_city,79,https://www.city.hamamatsu.shizuoka.jp/gikai/,https://ssp.kaigiroku.net/tenant/hamamatsu/SpTop.html,kaigirokuシステム
23,名古屋市,designated_city,232,https://www.city.nagoya.jp/gikai/,https://ssp.kaigiroku.net/tenant/nagoya/SpTop.html,kaigirokuシステム
26,京都市,designated_city,145,https://www.city.kyoto.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kyoto/SpTop.html,kaigirokuシステム
27,大阪市,designated_city,273,https://www.city.osaka.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/cityosaka/SpTop.html,kaigirokuシステム
27,堺市,designated_city,83,https://www.city.sakai.lg.jp/shisei/gikai/,http://www12.gijiroku.com/sakai/,gijirokuシステム
28,神戸市,designated_city,152,https://www.city.kobe.lg.jp/gikai/,https://www.city.kobe.hyogo.dbsr.jp/,DB-Searchシステム
33,岡山市,designated_city,72,https://www.city.okayama.jp/gikai/,https://ssp.kaigiroku.net/tenant/okayama/SpTop.html,kaigirokuシステム
34,広島市,designated_city,119,https://www.city.hiroshima.lg.jp/gikai/,https://www.city.hiroshima.dbsr.jp/,DB-Searchシステム
40,北九州市,designated_city,93,https://www.city.kitakyushu.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kitakyushu/SpTop.html,kaigirokuシステム
40,福岡市,designated_city,162,https://www.city.fukuoka.lg.jp/gikai/,https://www.city.fukuoka.fukuoka.dbsr.jp/index.php/,DB-Searchシステム
43,熊本市,designated_city,74,https://www.city.kumamoto.jp/gikai/,http://kumamoto.gijiroku.com/voices/,gijirokuシステム
01,函館市,core_city,25,https://www.city.hakodate.hokkaido.jp/docs/gikai/,https://ssp.kaigiroku.net/tenant/hakodate/SpTop.html,kaigirokuシステム
01,旭川市,core_city,32,https://www.city.asahikawa.hokkaido.jp/gikai/,https://ssp.kaigiroku.net/tenant/asahikawa/SpTop.html,kaigirokuシステム
02,青森市,core_city,27,https://www.city.aomori.aomori.jp/gikai/,https://ssp.kaigiroku.net/tenant/aomori/SpTop.html,kaigirokuシステム
02,八戸市,core_city,22,https://www.city.hachinohe.aomori.jp/gikai/,https://ssp.kaigiroku.net/tenant/hachinohe/SpTop.html,kaigirokuシステム
03,盛岡市,core_city,29,https://www.city.morioka.iwate.jp/gikai/,https://ssp.kaigiroku.net/tenant/morioka/SpTop.html,kaigirokuシステム
05,秋田市,core_city,30,https://www.city.akita.lg.jp/shisei/gikai/,https://ssp.kaigiroku.net/tenant/akita/SpTop.html,kaigirokuシステム
06,山形市,core_city,25,https://www.city.yamagata.yamagata.jp/gikai/,https://ssp.kaigiroku.net/tenant/yamagata/SpTop.html,kaigirokuシステム
07,郡山市,core_city,32,https://www.city.koriyama.fukushima.jp/gikai/,https://ssp.kaigiroku.net/tenant/koriyama/SpTop.html,kaigirokuシステム
07,いわき市,core_city,32,https://www.city.iwaki.lg.jp/shisei/gikai/,https://ssp.kaigiroku.net/tenant/iwaki/SpTop.html,kaigirokuシステム
07,福島市,core_city,28,https://www.city.fukushima.fukushima.jp/gikai/,https://ssp.kaigiroku.net/tenant/fukushimaCity/SpTop.html,kaigirokuシステム
09,宇都宮市,core_city,52,https://www.city.utsunomiya.tochigi.jp/gikai/,https://ssp.kaigiroku.net/tenant/utsunomiya/SpTop.html,kaigirokuシステム
10,前橋市,core_city,33,https://www.city.maebashi.gunma.jp/gikai/,https://ssp.kaigiroku.net/tenant/maebashi/SpTop.html,kaigirokuシステム
10,高崎市,core_city,37,https://www.city.takasaki.gunma.jp/gikai/,https://ssp.kaigiroku.net/tenant/takasaki/SpTop.html,kaigirokuシステム
11,川越市,core_city,35,https://www.city.kawagoe.saitama.jp/gikai/,https://ssp.kaigiroku.net/tenant/kawagoe/SpTop.html,kaigirokuシステム
11,川口市,core_city,59,https://www.city.kawaguchi.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kawaguchicity/SpTop.html,kaigirokuシステム
11,越谷市,core_city,34,https://www.city.koshigaya.saitama.jp/gikai/,https://ssp.kaigiroku.net/tenant/koshigaya/SpTop.html,kaigirokuシステム
12,船橋市,core_city,64,https://www.city.funabashi.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/funabashi/SpTop.html,kaigirokuシステム
12,柏市,core_city,43,https://www.city.kashiwa.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kashiwa/SpTop.html,kaigirokuシステム
14,横須賀市,core_city,39,https://www.city.yokosuka.kanagawa.jp/gikai/,https://ssp.kaigiroku.net/tenant/yokosuka/SpTop.html,kaigirokuシステム
14,藤沢市,core_city,43,https://www.city.fujisawa.kanagawa.jp/gikai/,https://ssp.kaigiroku.net/tenant/fujisawa/SpTop.html,kaigirokuシステム
15,長岡市,core_city,26,https://www.city.nagaoka.niigata.jp/gikai/,https://ssp.kaigiroku.net/tenant/nagaoka/SpTop.html,kaigirokuシステム
16,富山市,core_city,41,https://www.city.toyama.lg.jp/gikai/,https://www.city.toyama.dbsr.jp/,DB-Searchシステム
17,金沢市,core_city,46,https://www.city.kanazawa.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kanazawa/SpTop.html,kaigirokuシステム
18,福井市,core_city,26,https://www.city.fukui.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/fukui/SpTop.html,kaigirokuシステム
19,甲府市,core_city,19,https://www.city.kofu.yamanashi.jp/gikai/,https://ssp.kaigiroku.net/tenant/kofu/SpTop.html,kaigirokuシステム
20,長野市,core_city,37,https://www.city.nagano.nagano.jp/gikai/,https://ssp.kaigiroku.net/tenant/nagano/SpTop.html,kaigirokuシステム
20,松本市,core_city,24,https://www.city.matsumoto.nagano.jp/gikai/,https://ssp.kaigiroku.net/tenant/matsumoto/SpTop.html,kaigirokuシステム
21,岐阜市,core_city,40,https://www.city.gifu.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/gifucity/SpTop.html,kaigirokuシステム
23,豊橋市,core_city,37,https://www.city.toyohashi.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/toyohashi/SpTop.html,kaigirokuシステム
23,岡崎市,core_city,38,https://www.city.okazaki.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/okazaki/SpTop.html,kaigirokuシステム
23,一宮市,core_city,38,https://www.city.ichinomiya.aichi.jp/gikai/,https://ssp.kaigiroku.net/tenant/ichinomiya/SpTop.html,kaigirokuシステム
23,豊田市,core_city,42,https://www.city.toyota.aichi.jp/gikai/,https://ssp.kaigiroku.net/tenant/toyota/SpTop.html,kaigirokuシステム
24,四日市市,core_city,31,https://www.city.yokkaichi.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/yokkaichi/SpTop.html,kaigirokuシステム
25,大津市,core_city,34,https://www.city.otsu.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/otsucity/SpTop.html,kaigirokuシステム
27,豊中市,core_city,40,https://www.city.toyonaka.osaka.jp/gikai/,https://ssp.kaigiroku.net/tenant/toyonaka/SpTop.html,kaigirokuシステム
27,高槻市,core_city,35,https://www.city.takatsuki.osaka.jp/gikai/,https://ssp.kaigiroku.net/tenant/takatsuki/SpTop.html,kaigirokuシステム
27,枚方市,core_city,40,https://www.city.hirakata.osaka.jp/gikai/,https://ssp.kaigiroku.net/tenant/hirakata/SpTop.html,kaigirokuシステム
27,東大阪市,core_city,49,https://www.city.higashiosaka.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/higashiosaka/SpTop.html,kaigirokuシステム
27,吹田市,core_city,38,https://www.city.suita.osaka.jp/gikai/,https://ssp.kaigiroku.net/tenant/suita/SpTop.html,kaigirokuシステム
28,姫路市,core_city,53,https://www.city.himeji.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/himeji/SpTop.html,kaigirokuシステム
28,尼崎市,core_city,45,https://www.city.amagasaki.hyogo.jp/gikai/,https://ssp.kaigiroku.net/tenant/amagasaki/SpTop.html,kaigirokuシステム
28,西宮市,core_city,49,https://www.city.nishinomiya.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/nishinomiya/SpTop.html,kaigirokuシステム
28,明石市,core_city,30,https://www.city.akashi.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/akashi/SpTop.html,kaigirokuシステム
29,奈良市,core_city,36,https://www.city.nara.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/nara/SpTop.html,kaigirokuシステム
30,和歌山市,core_city,36,https://www.city.wakayama.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/wakayama/SpTop.html,kaigirokuシステム
31,鳥取市,core_city,19,https://www.city.tottori.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/tottori/SpTop.html,kaigirokuシステム
32,松江市,core_city,20,https://www.city.matsue.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/matsue/SpTop.html,kaigirokuシステム
33,倉敷市,core_city,47,https://www.city.kurashiki.okayama.jp/gikai/,https://ssp.kaigiroku.net/tenant/kurashiki/SpTop.html,kaigirokuシステム
34,福山市,core_city,46,https://www.city.fukuyama.hiroshima.jp/gikai/,https://www.city.fukuyama.dbsr.jp/,DB-Searchシステム
34,呉市,core_city,22,https://www.city.kure.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kure/SpTop.html,kaigirokuシステム
35,下関市,core_city,25,https://www.city.shimonoseki.yamaguchi.jp/gikai/,https://ssp.kaigiroku.net/tenant/shimonoseki/SpTop.html,kaigirokuシステム
37,高松市,core_city,42,https://www.city.takamatsu.kagawa.jp/gikai/,https://ssp.kaigiroku.net/tenant/takamatsu/SpTop.html,kaigirokuシステム
38,松山市,core_city,51,https://www.city.matsuyama.ehime.jp/gikai/,https://ssp.kaigiroku.net/tenant/matsuyama/SpTop.html,kaigirokuシステム
39,高知市,core_city,32,https://www.city.kochi.kochi.jp/gikai/,https://ssp.kaigiroku.net/tenant/kochi/SpTop.html,kaigirokuシステム
40,久留米市,core_city,30,https://www.city.kurume.fukuoka.jp/gikai/,https://ssp.kaigiroku.net/tenant/kurume/SpTop.html,kaigirokuシステム
41,佐賀市,core_city,23,https://www.city.saga.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/sagacity/SpTop.html,kaigirokuシステム
42,長崎市,core_city,41,https://www.city.nagasaki.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/nagasakicity/SpTop.html,kaigirokuシステム
42,佐世保市,core_city,25,https://www.city.sasebo.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/sasebo/SpTop.html,kaigirokuシステム
44,大分市,core_city,48,https://www.city.oita.oita.jp/gikai/,https://ssp.kaigiroku.net/tenant/oitacity/SpTop.html,kaigirokuシステム
45,宮崎市,core_city,40,https://www.city.miyazaki.miyazaki.jp/gikai/,https://ssp.kaigiroku.net/tenant/miyazakicity/SpTop.html,kaigirokuシステム
46,鹿児島市,core_city,60,https://www.city.kagoshima.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kagoshima/SpTop.html,kaigirokuシステム
47,那覇市,core_city,32,https://www.city.naha.okinawa.jp/gikai/,https://ssp.kaigiroku.net/tenant/naha/SpTop.html,kaigirokuシステム
13,八王子市,large_city,58,https://www.city.hachioji.tokyo.jp/gikai/,https://ssp.kaigiroku.net/tenant/hachioji/SpTop.html,kaigirokuシステム
13,町田市,large_city,43,https://www.city.machida.tokyo.jp/gikai/,https://ssp.kaigiroku.net/tenant/machida/SpTop.html,kaigirokuシステム
13,府中市,large_city,26,https://www.city.fuchu.tokyo.jp/gikai/,https://ssp.kaigiroku.net/tenant/fuchuCity/SpTop.html,kaigirokuシステム
13,調布市,large_city,24,https://www.city.chofu.tokyo.jp/gikai/,https://ssp.kaigiroku.net/tenant/chofu/SpTop.html,kaigirokuシステム
13,西東京市,large_city,20,https://www.city.nishitokyo.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/nishitokyo/SpTop.html,kaigirokuシステム
08,水戸市,large_city,27,https://www.city.mito.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/mitocity/SpTop.html,kaigirokuシステム
09,小山市,large_city,17,https://www.city.oyama.tochigi.jp/gikai/,https://ssp.kaigiroku.net/tenant/oyama/SpTop.html,kaigirokuシステム
11,所沢市,large_city,34,https://www.city.tokorozawa.saitama.jp/gikai/,https://ssp.kaigiroku.net/tenant/tokorozawa/SpTop.html,kaigirokuシステム
11,春日部市,large_city,23,https://www.city.kasukabe.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kasukabe/SpTop.html,kaigirokuシステム
11,上尾市,large_city,22,https://www.city.ageo.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/ageo/SpTop.html,kaigirokuシステム
12,松戸市,large_city,49,https://www.city.matsudo.chiba.jp/gikai/,https://ssp.kaigiroku.net/tenant/matsudo/SpTop.html,kaigirokuシステム
12,市川市,large_city,50,https://www.city.ichikawa.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/ichikawa/SpTop.html,kaigirokuシステム
14,平塚市,large_city,26,https://www.city.hiratsuka.kanagawa.jp/gikai/,https://ssp.kaigiroku.net/tenant/hiratsuka/SpTop.html,kaigirokuシステム
14,厚木市,large_city,22,https://www.city.atsugi.kanagawa.jp/gikai/,https://ssp.kaigiroku.net/tenant/atsugi/SpTop.html,kaigirokuシステム
27,八尾市,large_city,27,https://www.city.yao.osaka.jp/gikai/,https://ssp.kaigiroku.net/tenant/yaocity/SpTop.html,kaigirokuシステム
27,寝屋川市,large_city,23,https://www.city.neyagawa.osaka.jp/gikai/,https://ssp.kaigiroku.net/tenant/neyagawa/SpTop.html,kaigirokuシステム
28,加古川市,large_city,26,https://www.city.kakogawa.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kakogawa/SpTop.html,kaigirokuシステム
34,東広島市,large_city,20,https://www.city.higashihiroshima.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/higashihiroshima/SpTop.html,kaigirokuシステム
40,久留米市,large_city,30,https://www.city.kurume.fukuoka.jp/gikai/,https://ssp.kaigiroku.net/tenant/kurume/SpTop.html,中核市と重複（除外対象）
47,沖縄市,large_city,14,https://www.city.okinawa.okinawa.jp/gikai/,https://ssp.kaigiroku.net/tenant/okinawacity/SpTop.html,kaigirokuシステム
